BOOK ID   BOOK NAME                 Author             GENRE            
001       Ghost brother             Adler C.S          Sci-fi,fantasy
002       Speak                     Adnerson           Sci-fi,fantasy
003       Tut                       Bernard            young adult
004       Cross bones               Kathy              sci-fi
005       The Wizrd of Oz           Baum               fantasy
006       colombia                  Boraas             Non-fiction
007       Squashed                  Bauer              fiction
008       Wired                     Brouwer            fiction
009       Ali Baba                  Marie              fiction
010       The Bfg                   Dalh               fiction
011       Jamestown                 Doak               Non-fiction
012       The World                 Burgan             Non-fiction
013       Moving Day                Cabot              fiction
014       Tangerine                 Bloor              fiction
015       Summer of the swans       Byars              fiction
016       The Secret Garden         Frances H.B        fiction
017       The New Girl              Meg Gabot          fiction
018       A christmas carol         Charles Dickens    fiction
019       the Problem Child         Michael Buckley    fiction
020       Rules of the road         Blue Balliett      fiction               
